table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
VAB_financial_statements_2025_consolidated|table_9,VAB_financial_statements_2025_consolidated,VAB,2025,consolidated,VND,0,0,01. Thu nhập lãi và các khoản thu nhập tương tự nhận được,CHỈ TIÊU | LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,01. Thu nhập lãi và các khoản thu nhập tương tự nhận được,,,False,False
VAB_financial_statements_2025_consolidated|table_9,VAB_financial_statements_2025_consolidated,VAB,2025,consolidated,VND,0,1,01. Thu nhập lãi và các khoản thu nhập tương tự nhận được,TM | LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,False,True
VAB_financial_statements_2025_consolidated|table_9,VAB_financial_statements_2025_consolidated,VAB,2025,consolidated,VND,0,2,01. Thu nhập lãi và các khoản thu nhập tương tự nhận được,Năm nay | LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,9.415.140.439.227,9415140439227.0,9415140439227.0,False,False
VAB_financial_statements_2025_consolidated|table_9,VAB_financial_statements_2025_consolidated,VAB,2025,consolidated,VND,0,3,01. Thu nhập lãi và các khoản thu nhập tương tự nhận được,Năm trước | LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,10.540.975.207.054,10540975207054.0,10540975207054.0,False,False
VAB_financial_statements_2025_consolidated|table_9,VAB_financial_statements_2025_consolidated,VAB,2025,consolidated,VND,1,0,02. Chi phí lãi và các khoản thu nhập tương tự đã trả,CHỈ TIÊU | LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,02. Chi phí lãi và các khoản thu nhập tương tự đã trả,,,False,False
VAB_financial_statements_2025_consolidated|table_9,VAB_financial_statements_2025_consolidated,VAB,2025,consolidated,VND,1,1,02. Chi phí lãi và các khoản thu nhập tương tự đã trả,TM | LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,False,True
VAB_financial_statements_2025_consolidated|table_9,VAB_financial_statements_2025_consolidated,VAB,2025,consolidated,VND,1,2,02. Chi phí lãi và các khoản thu nhập tương tự đã trả,Năm nay | LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,(6.395.573.019.317),-6395573019317.0,-6395573019317.0,False,False
VAB_financial_statements_2025_consolidated|table_9,VAB_financial_statements_2025_consolidated,VAB,2025,consolidated,VND,1,3,02. Chi phí lãi và các khoản thu nhập tương tự đã trả,Năm trước | LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,(5.595.016.402.646),-5595016402646.0,-5595016402646.0,False,False
VAB_financial_statements_2025_consolidated|table_9,VAB_financial_statements_2025_consolidated,VAB,2025,consolidated,VND,2,0,03. Thu nhập từ hoạt động dịch vụ nhận được,CHỈ TIÊU | LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,03. Thu nhập từ hoạt động dịch vụ nhận được,,,False,False
VAB_financial_statements_2025_consolidated|table_9,VAB_financial_statements_2025_consolidated,VAB,2025,consolidated,VND,2,1,03. Thu nhập từ hoạt động dịch vụ nhận được,TM | LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,False,True
VAB_financial_statements_2025_consolidated|table_9,VAB_financial_statements_2025_consolidated,VAB,2025,consolidated,VND,2,2,03. Thu nhập từ hoạt động dịch vụ nhận được,Năm nay | LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,163.597.969.514,163597969514.0,163597969514.0,False,False
VAB_financial_statements_2025_consolidated|table_9,VAB_financial_statements_2025_consolidated,VAB,2025,consolidated,VND,2,3,03. Thu nhập từ hoạt động dịch vụ nhận được,Năm trước | LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,128.629.255.624,128629255624.0,128629255624.0,False,False
