table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,3,5,Lợi nhuận gộp của bộ phận,VND Tổng cộng | Năm nay,27.499.210.077.021 (23.415.605.192.984),,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,4,0,Chi phí không phân bổ,Năm nay | Doanh thu,Chi phí không phân bổ,,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,4,1,Chi phí không phân bổ,"Điện thoại di động, máy tính và thiết bị điện tử | Năm nay",,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,4,2,Chi phí không phân bổ,Thực phẩm và hàng tiêu dùng nhanh | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,4,3,Chi phí không phân bổ,Khác | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,4,4,Chi phí không phân bổ,Loại trừ | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,4,5,Chi phí không phân bổ,VND Tổng cộng | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,5,0,"Lợi nhuận trước thuế, doanh thu hoạt động tài chính và chi phí tài chính",Năm nay | Doanh thu,"Lợi nhuận trước thuế, doanh thu hoạt động tài chính và chi phí tài chính",,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,5,1,"Lợi nhuận trước thuế, doanh thu hoạt động tài chính và chi phí tài chính","Điện thoại di động, máy tính và thiết bị điện tử | Năm nay",,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,5,2,"Lợi nhuận trước thuế, doanh thu hoạt động tài chính và chi phí tài chính",Thực phẩm và hàng tiêu dùng nhanh | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,5,3,"Lợi nhuận trước thuế, doanh thu hoạt động tài chính và chi phí tài chính",Khác | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,5,4,"Lợi nhuận trước thuế, doanh thu hoạt động tài chính và chi phí tài chính",Loại trừ | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,5,5,"Lợi nhuận trước thuế, doanh thu hoạt động tài chính và chi phí tài chính",VND Tổng cộng | Năm nay,4.083.604.884.037,4083604884037.0,4083604884037.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,6,0,Doanh thu hoạt động tài chính,Năm nay | Doanh thu,Doanh thu hoạt động tài chính,,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,6,1,Doanh thu hoạt động tài chính,"Điện thoại di động, máy tính và thiết bị điện tử | Năm nay",,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,6,2,Doanh thu hoạt động tài chính,Thực phẩm và hàng tiêu dùng nhanh | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,6,3,Doanh thu hoạt động tài chính,Khác | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,6,4,Doanh thu hoạt động tài chính,Loại trừ | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,6,5,Doanh thu hoạt động tài chính,VND Tổng cộng | Năm nay,2.376.502.605.263,2376502605263.0,2376502605263.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,7,0,Chi phí tài chính,Năm nay | Doanh thu,Chi phí tài chính,,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,7,1,Chi phí tài chính,"Điện thoại di động, máy tính và thiết bị điện tử | Năm nay",,,,False,True
