table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,0,0,Nhóm An Phú (*),Các bên liên quan | Phải thu về cho vay dài hạn (TM số 7),Nhóm An Phú (*),,,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,0,1,Nhóm An Phú (*),Mối quan hệ | Phải thu về cho vay dài hạn (TM số 7),Các công ty liên quan,,,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,PERCENT,0,2,Nhóm An Phú (*),Lãi suất%/năm | Phải thu về cho vay dài hạn (TM số 7),(*),,,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,0,3,Nhóm An Phú (*),Số cuối năm | Phải thu về cho vay dài hạn (TM số 7),6.095.915.458,6095915458.0,6095915458.0,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,0,4,Nhóm An Phú (*),Ngàn VNDSố đầu năm | Phải thu về cho vay dài hạn (TM số 7),3.599.259.475,3599259475.0,3599259475.0,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,1,0,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Các bên liên quan | Phải thu về cho vay dài hạn (TM số 7),Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,,,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,1,1,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Mối quan hệ | Phải thu về cho vay dài hạn (TM số 7),Công ty con,,,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,PERCENT,1,2,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Lãi suất%/năm | Phải thu về cho vay dài hạn (TM số 7),"14,10",14.1,14.1,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,1,3,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Số cuối năm | Phải thu về cho vay dài hạn (TM số 7),2.314.922.876,2314922876.0,2314922876.0,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,1,4,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Ngàn VNDSố đầu năm | Phải thu về cho vay dài hạn (TM số 7),1.957.824.733,1957824733.0,1957824733.0,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,2,0,Công ty Cổ phần An Đông Mia,Các bên liên quan | Phải thu về cho vay dài hạn (TM số 7),Công ty Cổ phần An Đông Mia,,,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,2,1,Công ty Cổ phần An Đông Mia,Mối quan hệ | Phải thu về cho vay dài hạn (TM số 7),Công ty con,,,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,PERCENT,2,2,Công ty Cổ phần An Đông Mia,Lãi suất%/năm | Phải thu về cho vay dài hạn (TM số 7),"10,00",10.0,10.0,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,2,3,Công ty Cổ phần An Đông Mia,Số cuối năm | Phải thu về cho vay dài hạn (TM số 7),514.788.889,514788889.0,514788889.0,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,2,4,Công ty Cổ phần An Đông Mia,Ngàn VNDSố đầu năm | Phải thu về cho vay dài hạn (TM số 7),34.007.539,34007539.0,34007539.0,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,3,0,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Các bên liên quan | Phải thu về cho vay dài hạn (TM số 7),Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,,,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,3,1,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Mối quan hệ | Phải thu về cho vay dài hạn (TM số 7),Công ty con,,,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,PERCENT,3,2,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Lãi suất%/năm | Phải thu về cho vay dài hạn (TM số 7),"9,75 - 12,50",,,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,3,3,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Số cuối năm | Phải thu về cho vay dài hạn (TM số 7),849.513.068,849513068.0,849513068.0,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,3,4,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Ngàn VNDSố đầu năm | Phải thu về cho vay dài hạn (TM số 7),1.408.413.314,1408413314.0,1408413314.0,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,4,0,Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,Các bên liên quan | Phải thu về cho vay dài hạn (TM số 7),Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,,,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,4,1,Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,Mối quan hệ | Phải thu về cho vay dài hạn (TM số 7),Công ty con,,,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,PERCENT,4,2,Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,Lãi suất%/năm | Phải thu về cho vay dài hạn (TM số 7),"10,50",10.5,10.5,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,4,3,Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,Số cuối năm | Phải thu về cho vay dài hạn (TM số 7),259.169.936,259169936.0,259169936.0,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,4,4,Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,Ngàn VNDSố đầu năm | Phải thu về cho vay dài hạn (TM số 7),-,0.0,0.0,True,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,5,0,Công ty TNHH Khoáng sản Hoàng Anh GL – Kontum,Các bên liên quan | Phải thu về cho vay dài hạn (TM số 7),Công ty TNHH Khoáng sản Hoàng Anh GL – Kontum,,,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,5,1,Công ty TNHH Khoáng sản Hoàng Anh GL – Kontum,Mối quan hệ | Phải thu về cho vay dài hạn (TM số 7),Công ty con,,,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,PERCENT,5,2,Công ty TNHH Khoáng sản Hoàng Anh GL – Kontum,Lãi suất%/năm | Phải thu về cho vay dài hạn (TM số 7),"0,00",0.0,0.0,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,5,3,Công ty TNHH Khoáng sản Hoàng Anh GL – Kontum,Số cuối năm | Phải thu về cho vay dài hạn (TM số 7),53.092.286,53092286.0,53092286.0,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,5,4,Công ty TNHH Khoáng sản Hoàng Anh GL – Kontum,Ngàn VNDSố đầu năm | Phải thu về cho vay dài hạn (TM số 7),53.092.286,53092286.0,53092286.0,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,6,0,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Các bên liên quan | Phải thu về cho vay dài hạn (TM số 7),Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,,,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,6,1,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Mối quan hệ | Phải thu về cho vay dài hạn (TM số 7),Công ty liên quan,,,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,PERCENT,6,2,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Lãi suất%/năm | Phải thu về cho vay dài hạn (TM số 7),"0,00",0.0,0.0,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,6,3,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Số cuối năm | Phải thu về cho vay dài hạn (TM số 7),22.895.432,22895432.0,22895432.0,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,6,4,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Ngàn VNDSố đầu năm | Phải thu về cho vay dài hạn (TM số 7),-,0.0,0.0,True,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,7,0,Công ty Cổ phần Đầu tư Việt May,Các bên liên quan | Phải thu về cho vay dài hạn (TM số 7),Công ty Cổ phần Đầu tư Việt May,,,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,7,1,Công ty Cổ phần Đầu tư Việt May,Mối quan hệ | Phải thu về cho vay dài hạn (TM số 7),Công ty liên quan,,,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,PERCENT,7,2,Công ty Cổ phần Đầu tư Việt May,Lãi suất%/năm | Phải thu về cho vay dài hạn (TM số 7),"10,00",10.0,10.0,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,7,3,Công ty Cổ phần Đầu tư Việt May,Số cuối năm | Phải thu về cho vay dài hạn (TM số 7),5.590.000,5590000.0,5590000.0,False,False
HAG_financial_statements_2018_separate|table_60,HAG_financial_statements_2018_separate,HAG,2018,separate,VND,7,4,Công ty Cổ phần Đầu tư Việt May,Ngàn VNDSố đầu năm | Phải thu về cho vay dài hạn (TM số 7),-,0.0,0.0,True,False
