table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
HAG_financial_statements_2017_consolidated|table_106,HAG_financial_statements_2017_consolidated,HAG,2017,consolidated,VND,0,0,Công ty Cổ phần Chăn nuôi Gia Lai,Nhóm An Phú | Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Chăn nuôi Gia Lai,,,False,False
HAG_financial_statements_2017_consolidated|table_106,HAG_financial_statements_2017_consolidated,HAG,2017,consolidated,VND,0,1,Công ty Cổ phần Chăn nuôi Gia Lai,Mối quan hệ | Công ty liên quan,Công ty liên kết,,,False,False
HAG_financial_statements_2017_consolidated|table_106,HAG_financial_statements_2017_consolidated,HAG,2017,consolidated,VND,0,2,Công ty Cổ phần Chăn nuôi Gia Lai,Giao dịch | Lãi cho vay Chi phí trả hộ,Lãi cho vay Cho mượn Chi phí trả hộ,,,False,False
HAG_financial_statements_2017_consolidated|table_106,HAG_financial_statements_2017_consolidated,HAG,2017,consolidated,VND,0,3,Công ty Cổ phần Chăn nuôi Gia Lai,Số cuối năm | 159.626.905-,156.386.695 28.124.334 31.807.278,1.5638669528124334e+24,1.5638669528124334e+24,False,False
HAG_financial_statements_2017_consolidated|table_106,HAG_financial_statements_2017_consolidated,HAG,2017,consolidated,VND,0,4,Công ty Cổ phần Chăn nuôi Gia Lai,Ngàn VND Số đầu năm | 143.698.819 2.440.389,35.315.529 3.759.760 20.976.758,3.531552937597602e+22,3.531552937597602e+22,False,False
HAG_financial_statements_2017_consolidated|table_106,HAG_financial_statements_2017_consolidated,HAG,2017,consolidated,VND,1,0,Công ty Cổ phần Đầu tư Bất động sản An Phú,Nhóm An Phú | Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Đầu tư Bất động sản An Phú,,,False,False
HAG_financial_statements_2017_consolidated|table_106,HAG_financial_statements_2017_consolidated,HAG,2017,consolidated,VND,1,1,Công ty Cổ phần Đầu tư Bất động sản An Phú,Mối quan hệ | Công ty liên quan,Công ty liên quan,,,False,False
HAG_financial_statements_2017_consolidated|table_106,HAG_financial_statements_2017_consolidated,HAG,2017,consolidated,VND,1,2,Công ty Cổ phần Đầu tư Bất động sản An Phú,Giao dịch | Lãi cho vay Chi phí trả hộ,Lãi cho vay,,,False,False
HAG_financial_statements_2017_consolidated|table_106,HAG_financial_statements_2017_consolidated,HAG,2017,consolidated,VND,1,3,Công ty Cổ phần Đầu tư Bất động sản An Phú,Số cuối năm | 159.626.905-,44.353.801,44353801.0,44353801.0,False,False
HAG_financial_statements_2017_consolidated|table_106,HAG_financial_statements_2017_consolidated,HAG,2017,consolidated,VND,1,4,Công ty Cổ phần Đầu tư Bất động sản An Phú,Ngàn VND Số đầu năm | 143.698.819 2.440.389,925.412.956,925412956.0,925412956.0,False,False
HAG_financial_statements_2017_consolidated|table_106,HAG_financial_statements_2017_consolidated,HAG,2017,consolidated,VND,2,0,Công ty TNHH An Tiến,Nhóm An Phú | Công ty Cổ phần Phú Hoàng Anh,Công ty TNHH An Tiến,,,False,False
HAG_financial_statements_2017_consolidated|table_106,HAG_financial_statements_2017_consolidated,HAG,2017,consolidated,VND,2,1,Công ty TNHH An Tiến,Mối quan hệ | Công ty liên quan,Công ty liên quan,,,False,False
HAG_financial_statements_2017_consolidated|table_106,HAG_financial_statements_2017_consolidated,HAG,2017,consolidated,VND,2,2,Công ty TNHH An Tiến,Giao dịch | Lãi cho vay Chi phí trả hộ,Lãi cho vay,,,False,False
HAG_financial_statements_2017_consolidated|table_106,HAG_financial_statements_2017_consolidated,HAG,2017,consolidated,VND,2,3,Công ty TNHH An Tiến,Số cuối năm | 159.626.905-,21.806.304,21806304.0,21806304.0,False,False
HAG_financial_statements_2017_consolidated|table_106,HAG_financial_statements_2017_consolidated,HAG,2017,consolidated,VND,2,4,Công ty TNHH An Tiến,Ngàn VND Số đầu năm | 143.698.819 2.440.389,18.058.649,18058649.0,18058649.0,False,False
HAG_financial_statements_2017_consolidated|table_106,HAG_financial_statements_2017_consolidated,HAG,2017,consolidated,VND,3,0,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Nhóm An Phú | Công ty Cổ phần Phú Hoàng Anh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,,,False,False
HAG_financial_statements_2017_consolidated|table_106,HAG_financial_statements_2017_consolidated,HAG,2017,consolidated,VND,3,1,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Mối quan hệ | Công ty liên quan,Công ty liên quan,,,False,False
HAG_financial_statements_2017_consolidated|table_106,HAG_financial_statements_2017_consolidated,HAG,2017,consolidated,VND,3,2,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Giao dịch | Lãi cho vay Chi phí trả hộ,Lãi cho vay,,,False,False
HAG_financial_statements_2017_consolidated|table_106,HAG_financial_statements_2017_consolidated,HAG,2017,consolidated,VND,3,3,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Số cuối năm | 159.626.905-,21.557.241,21557241.0,21557241.0,False,False
HAG_financial_statements_2017_consolidated|table_106,HAG_financial_statements_2017_consolidated,HAG,2017,consolidated,VND,3,4,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Ngàn VND Số đầu năm | 143.698.819 2.440.389,13.122.719,13122719.0,13122719.0,False,False
