table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,2,2,3,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tỷ lệ lợi ích(%)","89,00%",89.0,89.0,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,2,3,3,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tỷ lệ biểu quyết (%)","89,00%",89.0,89.0,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,2,4,3,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Trụ sở chính","Số 200 đường 3/2, phường 12, quận 10,thành phố Hồ Chí Minh",,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,2,5,3,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Hoạt động chính",Đầu tư và kinh doanh bất động sản,,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,3,0,4,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | STT",4,4.0,4.0,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,3,1,4,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tên công ty","Công ty Cổ phần Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô (""Công ty Hà Đô Mee"")",,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,3,2,4,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tỷ lệ lợi ích(%)","51,00%",51.0,51.0,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,3,3,4,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tỷ lệ biểu quyết (%)","51,00%",51.0,51.0,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,3,4,4,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Trụ sở chính","Số 186 Hoàng Sâm, phường Nghĩa Đô,quận Cầu Giấy, Hà Nội",,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,3,5,4,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Hoạt động chính","Xây dựng công trình giao thông, công trình dân dụng",,,False,False
